"major","minor","patch","date","datetime","time","type"
0,60,NA,1997-12-04,1997-12-04 08:47:58,08:47:58,"patch"
0,61,NA,1997-12-21,1997-12-21 13:09:22,13:09:22,"minor"
0,61,1,1998-01-10,1998-01-10 00:31:55,00:31:55,"patch"
0,61,2,1998-03-14,1998-03-14 19:25:55,19:25:55,"patch"
0,61,3,1998-05-02,1998-05-02 07:58:17,07:58:17,"patch"
0,62,NA,1998-06-14,1998-06-14 12:56:20,12:56:20,"minor"
0,62,1,1998-06-14,1998-06-14 22:13:25,22:13:25,"patch"
0,62,2,1998-07-10,1998-07-10 11:13:45,11:13:45,"patch"
0,62,3,1998-08-28,1998-08-28 09:02:19,09:02:19,"patch"
0,62,4,1998-10-23,1998-10-23 12:08:41,12:08:41,"patch"
0,63,NA,1998-11-13,1998-11-13 14:37:19,14:37:19,"minor"
0,63,1,1998-12-04,1998-12-04 13:06:28,13:06:28,"patch"
0,63,2,1999-01-11,1999-01-11 12:55:50,12:55:50,"patch"
0,63,3,1999-03-05,1999-03-05 14:27:14,14:27:14,"patch"
0,64,NA,1999-04-07,1999-04-07 13:19:41,13:19:41,"minor"
0,64,1,1999-05-07,1999-05-07 13:25:43,13:25:43,"patch"
0,64,2,1999-07-02,1999-07-02 12:23:15,12:23:15,"patch"
0,65,NA,1999-08-27,1999-08-27 10:29:29,10:29:29,"minor"
0,65,1,1999-10-06,1999-10-06 12:13:04,12:13:04,"patch"
0,90,NA,1999-11-22,1999-11-22 12:25:14,12:25:14,"minor"
0,90,1,1999-12-15,1999-12-15 12:29:07,12:29:07,"patch"
0,99,NA,2000-02-07,2000-02-07 11:24:50,11:24:50,"minor"
1,0,NA,2000-02-29,2000-02-29 08:55:23,08:55:23,"major"
1,0,1,2000-04-14,2000-04-14 08:44:18,08:44:18,"patch"
1,1,NA,2000-06-15,2000-06-15 08:43:21,08:43:21,"minor"
1,1,1,2000-08-15,2000-08-15 08:54:18,08:54:18,"patch"
1,2,NA,2000-12-15,2000-12-15 10:19:25,10:19:25,"minor"
1,2,1,2001-01-15,2001-01-15 10:18:01,10:18:01,"patch"
1,2,2,2001-02-26,2001-02-26 12:43:25,12:43:25,"patch"
1,2,3,2001-04-26,2001-04-26 11:29:47,11:29:47,"patch"
1,3,NA,2001-06-22,2001-06-22 10:41:02,10:41:02,"minor"
1,3,1,2001-08-31,2001-08-31 12:45:52,12:45:52,"patch"
1,4,NA,2001-12-19,2001-12-19 10:14:54,10:14:54,"minor"
1,4,1,2002-01-30,2002-01-30 11:57:35,11:57:35,"patch"
1,5,0,2002-04-29,2002-04-29 10:01:26,10:01:26,"minor"
1,5,1,2002-06-17,2002-06-17 11:20:33,11:20:33,"patch"
1,6,0,2002-10-01,2002-10-01 10:06:31,10:06:31,"minor"
1,6,1,2002-11-01,2002-11-01 10:33:17,10:33:17,"patch"
1,6,2,2003-01-10,2003-01-10 15:34:34,15:34:34,"patch"
1,7,0,2003-04-16,2003-04-16 12:58:07,12:58:07,"minor"
1,7,1,2003-06-16,2003-06-16 09:54:39,09:54:39,"patch"
1,8,0,2003-10-08,2003-10-08 11:13:59,11:13:59,"minor"
1,8,1,2003-11-21,2003-11-21 12:00:21,12:00:21,"patch"
1,9,0,2004-04-12,2004-04-12 10:36:38,10:36:38,"minor"
1,9,1,2004-06-21,2004-06-21 11:09:39,11:09:39,"patch"
2,0,0,2004-10-04,2004-10-04 14:24:38,14:24:38,"major"
2,0,1,2004-11-15,2004-11-15 14:16:30,14:16:30,"patch"
2,1,0,2005-04-18,2005-04-18 22:26:33,22:26:33,"minor"
2,1,1,2005-06-20,2005-06-20 09:27:13,09:27:13,"patch"
2,2,0,2005-10-06,2005-10-06 10:22:14,10:22:14,"minor"
2,2,1,2005-12-20,2005-12-20 10:35:21,10:35:21,"patch"
2,3,0,2006-04-24,2006-04-24 10:37:20,10:37:20,"minor"
2,3,1,2006-06-01,2006-06-01 08:25:33,08:25:33,"patch"
2,4,0,2006-10-03,2006-10-03 10:15:04,10:15:04,"minor"
2,4,1,2006-12-18,2006-12-18 09:49:23,09:49:23,"patch"
2,5,0,2007-04-24,2007-04-24 09:41:43,09:41:43,"minor"
2,5,1,2007-06-28,2007-06-28 11:17:06,11:17:06,"patch"
2,6,0,2007-10-03,2007-10-03 09:02:53,09:02:53,"minor"
2,6,1,2007-11-26,2007-11-26 14:14:04,14:14:04,"patch"
2,6,2,2008-02-08,2008-02-08 11:10:05,11:10:05,"patch"
2,7,0,2008-04-22,2008-04-22 07:45:29,07:45:29,"minor"
2,7,1,2008-06-23,2008-06-23 07:44:32,07:44:32,"patch"
2,7,2,2008-08-25,2008-08-25 08:53:56,08:53:56,"patch"
2,8,0,2008-10-20,2008-10-20 09:24:01,09:24:01,"minor"
2,8,1,2008-12-22,2008-12-22 09:03:17,09:03:17,"patch"
2,9,0,2009-04-17,2009-04-17 08:32:48,08:32:48,"minor"
2,9,1,2009-06-26,2009-06-26 12:10:57,12:10:57,"patch"
2,9,2,2009-08-24,2009-08-24 08:22:34,08:22:34,"patch"
2,10,0,2009-10-26,2009-10-26 09:02:22,09:02:22,"patch"
2,10,1,2009-12-14,2009-12-14 10:28:24,10:28:24,"patch"
2,11,0,2010-04-22,2010-04-22 08:11:21,08:11:21,"minor"
2,11,1,2010-05-31,2010-05-31 08:10:25,08:10:25,"patch"
2,12,0,2010-10-15,2010-10-15 08:41:57,08:41:57,"minor"
2,12,1,2010-12-16,2010-12-16 09:12:04,09:12:04,"patch"
2,12,2,2011-02-25,2011-02-25 11:07:19,11:07:19,"patch"
2,13,0,2011-04-13,2011-04-13 08:31:27,08:31:27,"minor"
2,13,1,2011-07-08,2011-07-08 09:37:08,09:37:08,"patch"
2,13,2,2011-09-30,2011-09-30 07:05:56,07:05:56,"patch"
2,14,0,2011-10-31,2011-10-31 08:09:09,08:09:09,"minor"
2,14,1,2011-12-22,2011-12-22 08:10:18,08:10:18,"patch"
2,14,2,2012-02-29,2012-02-29 08:10:10,08:10:10,"patch"
2,15,0,2012-03-30,2012-03-30 07:16:05,07:16:05,"minor"
2,15,1,2012-06-22,2012-06-22 07:09:44,07:09:44,"patch"
2,15,2,2012-10-26,2012-10-26 07:11:16,07:11:16,"patch"
2,15,3,2013-03-01,2013-03-01 08:28:29,08:28:29,"patch"
3,0,0,2013-04-03,2013-04-03 07:12:36,07:12:36,"major"
3,0,1,2013-05-16,2013-05-16 07:11:33,07:11:33,"patch"
3,0,2,2013-09-25,2013-09-25 07:11:09,07:11:09,"patch"
3,0,3,2014-03-06,2014-03-06 08:12:33,08:12:33,"patch"
3,1,0,2014-04-10,2014-04-10 07:11:10,07:11:10,"minor"
3,1,1,2014-07-10,2014-07-10 07:11:09,07:11:09,"patch"
3,1,2,2014-10-31,2014-10-31 08:11:32,08:11:32,"patch"
3,1,3,2015-03-09,2015-03-09 08:12:20,08:12:20,"patch"
3,2,0,2015-04-16,2015-04-16 07:13:33,07:13:33,"minor"
3,2,1,2015-06-18,2015-06-18 07:15:04,07:15:04,"patch"
3,2,2,2015-08-14,2015-08-14 07:13:18,07:13:18,"patch"
3,2,3,2015-12-10,2015-12-10 08:13:08,08:13:08,"patch"
3,2,4,2016-03-10,2016-03-10 08:15:45,08:15:45,"patch"
3,2,5,2016-04-14,2016-04-14 15:59:38,15:59:38,"patch"
3,3,0,2016-05-03,2016-05-03 07:13:28,07:13:28,"minor"
3,3,1,2016-06-21,2016-06-21 07:21:38,07:21:38,"patch"
3,3,2,2016-10-31,2016-10-31 08:13:15,08:13:15,"patch"
3,3,3,2017-03-06,2017-03-06 08:16:31,08:16:31,"patch"
3,4,0,2017-04-21,2017-04-21 07:14:45,07:14:45,"minor"
3,4,1,2017-06-30,2017-06-30 07:04:11,07:04:11,"patch"
